recipe_id,name,category,cuisine,minutes,calories,tags
1,Phở Bò Hà Nội,soup,Vietnamese,180,450,"beef,noodle,soup,traditional,hanoi"
2,Phở Gà,soup,Vietnamese,120,380,"chicken,noodle,soup,traditional"
3,Bún Bò Huế,soup,Vietnamese,150,420,"beef,noodle,soup,spicy,hue"
4,Bún Riêu Cua,soup,Vietnamese,90,350,"crab,noodle,soup,tomato"
5,Bánh Mì Thịt Nướng,sandwich,Vietnamese,30,520,"bread,pork,grilled,street_food"
6,Bánh Mì Trứng,sandwich,Vietnamese,15,380,"bread,egg,street_food,fast"
7,Bánh Mì Pate,sandwich,Vietnamese,10,430,"bread,pate,street_food"
8,Cơm Tấm Sườn Bì,rice,Vietnamese,60,680,"rice,pork,grilled,saigon"
9,Cơm Rang Dưa Bò,rice,Vietnamese,20,560,"rice,beef,fried_rice,quick"
10,Bún Chả Hà Nội,noodle,Vietnamese,45,490,"pork,noodle,grilled,hanoi"
11,Gỏi Cuốn Tôm Thịt,appetizer,Vietnamese,30,220,"shrimp,pork,salad_roll,fresh,healthy"
12,Chả Giò Hải Sản,appetizer,Vietnamese,40,350,"seafood,spring_roll,fried,appetizer"
13,Mì Quảng,noodle,Vietnamese,90,480,"noodle,pork,shrimp,central_vietnam"
14,Cao Lầu Hội An,noodle,Vietnamese,90,460,"noodle,pork,hoian,traditional"
15,Banh Canh Cua,soup,Vietnamese,60,390,"crab,thick_noodle,soup"
16,Chè Khúc Bạch,dessert,Vietnamese,120,180,"dessert,sweet,cold,almond"
17,Chè Ba Màu,dessert,Vietnamese,30,250,"dessert,sweet,cold,colorful"
18,Bánh Xèo Miền Tây,pancake,Vietnamese,40,420,"pancake,shrimp,pork,southern"
19,Lẩu Thái Hải Sản,hotpot,Thai-Vietnamese,50,380,"seafood,hotpot,spicy,thai"
20,Lẩu Bò Nhúng Dấm,hotpot,Vietnamese,60,520,"beef,hotpot,vinegar,southern"
21,Lẩu Mắm,hotpot,Vietnamese,60,440,"fish_paste,hotpot,mekong"
22,Nem Chua Rán,appetizer,Vietnamese,45,290,"pork,fried,appetizer,fermented"
23,Bò Lúc Lắc,main,Vietnamese,20,380,"beef,stir_fry,pepper,quick"
24,Gà Kho Gừng,main,Vietnamese,35,350,"chicken,braised,ginger,spicy"
25,Cá Kho Tộ,main,Vietnamese,60,320,"fish,braised,caramel,clay_pot"
26,Thịt Kho Trứng,main,Vietnamese,90,580,"pork,egg,braised,tet"
27,Canh Chua Cá,soup,Vietnamese,30,210,"fish,sour_soup,tamarind,tomato"
28,Canh Bí Đỏ Tôm,soup,Vietnamese,25,180,"shrimp,pumpkin,soup,light"
29,Rau Muống Xào Tỏi,vegetable,Vietnamese,10,120,"water_spinach,garlic,stir_fry,quick,vegan"
30,Đậu Phụ Sốt Cà Chua,vegetarian,Vietnamese,20,160,"tofu,tomato,vegetarian,quick"
31,Sushi Cá Hồi,japanese,Japanese,60,420,"salmon,sushi,rice,japanese,healthy"
32,Ramen Chashu,soup,Japanese,240,680,"pork,ramen,noodle,japanese"
33,Tempura Hải Sản,fried,Japanese,40,480,"seafood,tempura,fried,japanese"
34,Takoyaki Bạch Tuộc,snack,Japanese,30,320,"octopus,snack,japanese,street"
35,Okonomiyaki,pancake,Japanese,25,450,"pancake,japanese,cabbage,pork"
36,Cơm Chiên Dương Châu,rice,Chinese,15,520,"rice,fried_rice,egg,chinese,quick"
37,Vịt Quay Bắc Kinh,main,Chinese,180,720,"duck,roasted,chinese,beijing"
38,Dim Sum Há Cảo,dumpling,Chinese,45,280,"shrimp,dumpling,dim_sum,steamed"
39,Mì Xào Hải Sản,noodle,Chinese,20,480,"seafood,noodle,stir_fry,chinese,quick"
40,Bún Tôm Thái,salad,Thai,30,260,"shrimp,salad,thai,spicy,lime"
41,Pad Thai Tôm,noodle,Thai,30,520,"shrimp,noodle,thai,stir_fry"
42,Tom Yum Goong,soup,Thai,30,280,"shrimp,soup,thai,spicy,lemongrass"
43,Green Curry Gà,curry,Thai,40,450,"chicken,curry,thai,coconut,spicy"
44,Cơm Rang Kimchi,rice,Korean,20,480,"kimchi,rice,fried,korean,quick"
45,Bibimbap,rice,Korean,40,520,"rice,vegetables,egg,korean,healthy"
46,Tteokbokki,snack,Korean,20,380,"rice_cake,spicy,korean,street"
47,Korean BBQ Galbi,bbq,Korean,60,620,"beef,bbq,korean,grilled"
48,Bulgogi,main,Korean,30,480,"beef,marinated,korean,sweet"
49,Mì Udon Nhật,noodle,Japanese,20,440,"udon,japanese,noodle,soup,light"
50,Gyoza Chiên,dumpling,Japanese,30,360,"pork,dumpling,fried,japanese"
51,Bít Tết Bò Sốt Tiêu,main,Western,30,680,"beef,steak,pepper,western,grilled"
52,Pizza Margherita,italian,Italian,60,580,"pizza,cheese,tomato,italian,basil"
53,Pizza Hải Sản,italian,Italian,60,620,"pizza,seafood,italian,cheese"
54,Pasta Carbonara,pasta,Italian,25,680,"pasta,egg,bacon,italian,cream"
55,Pasta Bolognese,pasta,Italian,60,580,"pasta,beef,tomato,italian"
56,Pasta Aglio e Olio,pasta,Italian,20,480,"pasta,garlic,olive_oil,italian,quick,vegan"
57,Risotto Nấm,rice,Italian,40,520,"risotto,mushroom,italian,creamy"
58,Burger Bò Phô Mai,burger,American,30,750,"beef,burger,cheese,american"
59,Chicken Wings Buffalo,appetizer,American,45,580,"chicken,wings,spicy,american"
60,Caesar Salad,salad,American,15,280,"salad,chicken,healthy,light,quick"
61,Súp Kem Nấm,soup,French,30,320,"mushroom,cream_soup,french,creamy"
62,Quiche Lorraine,pastry,French,60,480,"egg,bacon,pastry,french"
63,Ratatouille,vegetarian,French,60,220,"vegetable,french,vegan,healthy"
64,Salmon Nướng Sốt Cam,main,Western,30,420,"salmon,grilled,citrus,healthy"
65,Tôm Sốt Kem Tỏi,main,Western,20,380,"shrimp,cream,garlic,quick"
66,Salad Quinoa Rau Củ,salad,Healthy,20,280,"quinoa,salad,healthy,vegan,protein"
67,Smoothie Bowl Acai,breakfast,Healthy,10,320,"acai,smoothie,breakfast,healthy,fruit"
68,Avocado Toast,breakfast,Western,10,350,"avocado,toast,breakfast,healthy,quick"
69,Granola Sữa Chua,breakfast,Healthy,5,380,"granola,yogurt,breakfast,quick,healthy"
70,Buddha Bowl Chay,vegetarian,Healthy,30,420,"vegetables,vegan,healthy,bowl,protein"
71,Đậu Hũ Non Hoa Quả,dessert,Vietnamese,10,120,"tofu,fruit,dessert,vegan,light"
